mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg
Road,Delhivery,bike,petrol,91,118.0,61.31,30.0,Moderate,4,3,BS-VI,47.06,,,1.93,0.52,4.05
Road,Delhivery,bike,petrol,114,90.0,43.23,45.0,Low,7,2,BS-IV,45.17,,,2.52,0.48,5.8
Road,Delhivery,bike,petrol,41,117.0,86.19,38.0,Heavy,7,4,BS-III,43.44,,,0.94,0.74,2.26
Road,Delhivery,bike,petrol,98,128.0,90.79,45.0,Moderate,5,4,BS-VI,43.53,,,2.25,0.71,4.73
Road,Delhivery,bike,petrol,90,82.0,35.68,38.0,Heavy,6,2,BS-IV,47.78,,,1.88,0.44,4.32
Road,Delhivery,bike,petrol,92,88.0,65.84,45.0,Low,5,1,BS-IV,47.42,,,1.94,0.75,4.46
Road,Delhivery,bike,petrol,43,119.0,95.68,38.0,Moderate,7,2,BS-IV,44.28,,,0.97,0.8,2.23
Road,Delhivery,bike,petrol,73,123.0,108.9,45.0,Low,6,1,BS-IV,42.03,,,1.74,0.89,4.0
Road,Delhivery,bike,petrol,119,119.0,54.97,38.0,Moderate,6,4,BS-III,46.72,,,2.55,0.46,6.12
Road,Delhivery,bike,petrol,68,120.0,38.68,45.0,Heavy,3,4,BS-VI,47.11,,,1.44,0.32,3.02
Road,Delhivery,bike,petrol,69,127.5,109.1,36.9,Moderate,7,2,BS-VI,43.46,,,1.61,0.86,3.38
Road,Delhivery,bike,petrol,88,115.4,36.6,39.4,Moderate,10,1,BS-III,32.97,,,2.67,0.32,6.41
Road,Delhivery,bike,petrol,88,80.4,61.0,37.2,Low,20,3,BS-VI,41.32,,,2.15,0.76,4.51
Road,Delhivery,bike,petrol,102,90.0,80.7,34.3,Moderate,7,4,BS-III,31.26,,,3.29,0.9,7.9
Road,Delhivery,bike,petrol,115,128.3,53.3,25.3,Moderate,8,3,BS-VI,42.23,,,2.74,0.42,5.75
Road,Delhivery,bike,petrol,44,127.9,91.9,31.4,Low,19,3,BS-VI,41.47,,,1.07,0.72,2.25
Road,Delhivery,bike,petrol,46,84.6,33.7,38.5,Low,11,0,BS-VI,43.36,,,1.08,0.4,2.27
Road,Delhivery,bike,petrol,79,82.9,59.0,39.7,Low,15,2,BS-IV,40.87,,,1.95,0.71,4.48
Road,Delhivery,bike,petrol,95,121.8,87.7,26.7,Low,12,1,BS-III,35.79,,,2.66,0.72,6.38
Road,Delhivery,bike,petrol,96,84.1,62.8,36.6,Low,5,5,BS-III,34.29,,,2.81,0.75,6.74
Road,Delhivery,bike,petrol,87,99.6,71.5,39.5,Low,10,0,BS-VI,44.59,,,1.96,0.72,4.12
Road,Delhivery,bike,petrol,89,123.1,105.8,34.2,Low,14,0,BS-III,36.92,,,2.43,0.86,5.83
Road,Delhivery,bike,petrol,79,96.4,78.7,31.8,Heavy,13,2,BS-IV,35.79,,,2.22,0.82,5.11
Road,Delhivery,bike,petrol,54,114.8,101.0,34.5,Low,20,1,BS-III,33.27,,,1.64,0.88,3.94
Road,Delhivery,bike,petrol,43,88.4,35.7,25.6,Moderate,5,4,BS-III,30.42,,,1.42,0.4,3.41
Road,Delhivery,bike,petrol,50,80.0,40.0,35.0,Moderate,7,3,BS-III,40.15,,,1.25,0.5,2.99
Road,Delhivery,bike,petrol,121,130.0,113.0,35.0,Low,25,6,BS-IV,44.58,,,2.71,0.87,6.24
Road,Delhivery,bike,petrol,93,130.0,89.0,29.0,Moderate,16,5,BS-IV,43.08,,,2.16,0.69,4.96
Road,Delhivery,bike,petrol,129,150.0,61.0,36.0,Moderate,16,8,BS-III,38.12,,,3.38,0.41,8.12
Road,Delhivery,bike,petrol,128,130.0,70.0,40.0,Heavy,19,2,BS-VI,46.75,,,2.74,0.54,5.75
Road,Delhivery,bike,petrol,133,150.0,87.0,29.0,Heavy,11,4,BS-III,37.25,,,3.57,0.58,8.57
Road,Delhivery,bike,petrol,87,130.0,113.0,36.0,Moderate,22,9,BS-III,36.52,,,2.38,0.87,5.72
Road,Delhivery,bike,petrol,122,120.0,52.0,36.0,Heavy,11,7,BS-VI,44.31,,,2.75,0.44,5.78
Road,Delhivery,bike,petrol,105,130.0,53.0,28.0,Moderate,10,5,BS-IV,43.86,,,2.39,0.41,5.51
Road,Delhivery,bike,petrol,123,150.0,48.0,26.0,Moderate,16,1,BS-IV,46.11,,,2.67,0.32,6.14
Road,Delhivery,bike,petrol,83,120.0,88.0,39.0,Moderate,12,4,BS-III,39.1,,,2.12,0.74,5.09
Road,Delhivery,bike,petrol,122,120.0,78.0,33.0,Low,13,0,BS-III,43.3,,,2.81,0.65,6.75
Road,Delhivery,bike,petrol,78,130.0,98.0,36.0,Heavy,15,2,BS-III,37.7,,,2.07,0.76,4.97
Road,Delhivery,bike,petrol,104,150.0,115.0,35.0,Low,14,6,BS-IV,44.86,,,2.32,0.77,5.33
Road,Delhivery,bike,petrol,120,100.0,23.0,32.0,Moderate,5,1,BS-VI,46.44,,,2.09,2.34,4.39
Road,Delhivery,bike,petrol,106,120.0,88.0,32.0,Moderate,7,0,BS-VI,49.99,,,2.12,0.74,4.45
Road,Delhivery,bike,petrol,189,23.0,73.0,34.0,Low,18,1,BS-VI,49.47,,,2.34,9.0,4.92
Road,Delhivery,bike,petrol,84,100.0,37.0,36.0,Low,23,6,BS-III,41.38,,,2.03,0.37,4.87
Road,Delhivery,bike,petrol,73,150.0,126.0,31.0,Heavy,17,10,BS-III,33.9,,,2.15,0.84,5.17
Road,Delhivery,bike,petrol,82,150.0,52.0,35.0,Heavy,6,9,BS-III,35.58,,,2.3,0.35,5.53
Road,Delhivery,bike,petrol,126,120.0,43.0,36.0,Moderate,15,9,BS-VI,46.2,,,2.73,0.36,5.73
Road,Delhivery,bike,petrol,131,150.0,55.0,33.0,Heavy,24,8,BS-VI,43.97,,,2.98,0.37,6.26
Road,Delhivery,bike,petrol,10,130.0,79.0,33.0,Moderate,9,0,BS-VI,50.39,,,2.76,0.61,5.79
Road,Delhivery,bike,petrol,113,120.0,54.0,35.0,Moderate,13,3,BS-III,40.28,,,2.81,0.45,6.73
Road,Delhivery,bike,electric,107,100.0,88.0,38.0,Heavy,6,2,Electric,,0.0409,4.38,,0.88,3.59
Road,Delhivery,bike,electric,105,80.0,25.0,25.0,Moderate,6,3,Electric,,0.0384,4.03,,0.3125,3.31
