mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg,load_utilization,fuel_per_km,co2_per_km,co2_per_litre,speed_per_stop,high_emitter,efficiency_score,low_efficiency,co2_tier
Road,Delhivery,bike,petrol,91,118.0,61.31,30.0,Moderate,4,3,BS-VI,47.06,0.0399,5.1199,1.93,0.52,4.05,0.5195762711864407,0.021208791208791208,0.04450549450549451,2.098445595854922,7.5,False,69.61939486982665,False,Low
Road,Delhivery,bike,petrol,114,90.0,43.23,45.0,Low,7,2,BS-IV,45.17,0.0399,5.1199,2.52,0.48,5.8,0.4803333333333333,0.022105263157894735,0.05087719298245614,2.3015873015873014,6.428571428571429,False,64.89326765188835,False,Low
Road,Delhivery,bike,petrol,41,117.0,86.19,38.0,Heavy,7,4,BS-III,43.44,0.0399,5.1199,0.94,0.74,2.26,0.7366666666666667,0.022926829268292682,0.05512195121951219,2.404255319148936,5.428571428571429,False,61.75861419694973,False,Low
Road,Delhivery,bike,petrol,98,128.0,90.79,45.0,Moderate,5,4,BS-VI,43.53,0.0399,5.1199,2.25,0.71,4.73,0.709296875,0.02295918367346939,0.04826530612244898,2.102222222222222,9.0,False,64.27437162320882,False,Low
Road,Delhivery,bike,petrol,90,82.0,35.68,38.0,Heavy,6,2,BS-IV,47.78,0.0399,5.1199,1.88,0.44,4.32,0.4351219512195122,0.020888888888888887,0.048,2.297872340425532,6.333333333333333,False,68.70567375886525,False,Low
Road,Delhivery,bike,petrol,92,88.0,65.84,45.0,Low,5,1,BS-IV,47.42,0.0399,5.1199,1.94,0.75,4.46,0.7481818181818182,0.02108695652173913,0.048478260869565214,2.2989690721649483,9.0,False,68.05048310295409,False,Low
Road,Delhivery,bike,petrol,43,119.0,95.68,38.0,Moderate,7,2,BS-IV,44.28,0.0399,5.1199,0.97,0.8,2.23,0.8040336134453782,0.022558139534883722,0.05186046511627907,2.2989690721649483,5.428571428571429,False,63.61240811797882,False,Low
Road,Delhivery,bike,petrol,73,123.0,108.9,45.0,Low,6,1,BS-IV,42.03,0.0399,5.1199,1.74,0.89,4.0,0.8853658536585366,0.023835616438356164,0.0547945205479452,2.2988505747126435,7.5,False,60.20402298850575,False,Low
Road,Delhivery,bike,petrol,119,119.0,54.97,38.0,Moderate,6,4,BS-III,46.72,0.0399,5.1199,2.55,0.46,6.12,0.4619327731092437,0.02142857142857143,0.05142857142857143,2.4000000000000004,6.333333333333333,False,66.11111111111111,False,Low
Road,Delhivery,bike,petrol,68,120.0,38.68,45.0,Heavy,3,4,BS-VI,47.11,0.0399,5.1199,1.44,0.32,3.02,0.3223333333333333,0.021176470588235293,0.04441176470588235,2.0972222222222223,15.0,False,69.73877851361294,False,Low
Road,Delhivery,bike,petrol,69,127.5,109.1,36.9,Moderate,7,2,BS-VI,43.46,0.0399,5.1199,1.61,0.86,3.38,0.8556862745098038,0.023333333333333334,0.04898550724637681,2.0993788819875774,5.271428571428571,False,63.2713440405748,False,Low
Road,Delhivery,bike,petrol,88,115.4,36.6,39.4,Moderate,10,1,BS-III,32.97,0.0399,5.1199,2.67,0.32,6.41,0.317157712305026,0.03034090909090909,0.0728409090909091,2.4007490636704123,3.94,False,46.68735064009302,False,Medium
Road,Delhivery,bike,petrol,88,80.4,61.0,37.2,Low,20,3,BS-VI,41.32,0.0399,5.1199,2.15,0.76,4.51,0.7587064676616915,0.02443181818181818,0.05125,2.097674418604651,1.86,False,60.44242768009076,False,Low
Road,Delhivery,bike,petrol,102,90.0,80.7,34.3,Moderate,7,4,BS-III,31.26,0.0399,5.1199,3.29,0.9,7.9,0.8966666666666667,0.032254901960784316,0.07745098039215687,2.4012158054711246,4.8999999999999995,False,43.9144319187411,False,Medium
Road,Delhivery,bike,petrol,115,128.3,53.3,25.3,Moderate,8,3,BS-VI,42.23,0.0399,5.1199,2.74,0.42,5.75,0.41543257989088067,0.02382608695652174,0.05,2.0985401459854014,3.1625,False,61.97080291970803,False,Low
Road,Delhivery,bike,petrol,44,127.9,91.9,31.4,Low,19,3,BS-VI,41.47,0.0399,5.1199,1.07,0.72,2.25,0.7185301016419078,0.02431818181818182,0.05113636363636364,2.102803738317757,1.6526315789473685,False,60.67705088265835,False,Low
Road,Delhivery,bike,petrol,46,84.6,33.7,38.5,Low,11,0,BS-VI,43.36,0.0399,5.1199,1.08,0.4,2.27,0.3983451536643027,0.02347826086956522,0.04934782608695652,2.1018518518518516,3.5,False,62.856909773209324,False,Low
Road,Delhivery,bike,petrol,79,82.9,59.0,39.7,Low,15,2,BS-IV,40.87,0.0399,5.1199,1.95,0.71,4.48,0.7117008443908323,0.024683544303797468,0.056708860759493676,2.2974358974358977,2.646666666666667,False,58.14674908424908,False,Low
Road,Delhivery,bike,petrol,95,121.8,87.7,26.7,Low,12,1,BS-III,35.79,0.0399,5.1199,2.66,0.72,6.38,0.720032840722496,0.028,0.06715789473684211,2.398496240601504,2.225,False,50.60456784594716,False,Low
Road,Delhivery,bike,petrol,96,84.1,62.8,36.6,Low,5,5,BS-III,34.29,0.0399,5.1199,2.81,0.75,6.74,0.746730083234245,0.029270833333333333,0.07020833333333333,2.398576512455516,7.32,False,48.40702450975216,False,Low
